Team 1,Team 2,Odds 1,Odds 2,Year
Royal Challengers Bengaluru,Punjab Kings,1.90,1.91,2025
Mumbai Indians,Punjab Kings,1.68,2.20,2025
Gujarat Titans,Mumbai Indians,2.31,1.62,2025
Punjab Kings,Royal Challengers Bengaluru,1.97,1.84,2025
Lucknow Super Giants,Royal Challengers Bengaluru,2.23,1.66,2025
Mumbai Indians,Punjab Kings,1.64,2.25,2025
Kolkata Knight Riders,Sunrisers Hyderabad,1.99,1.81,2025
Gujarat Titans,Chennai Super Kings,1.52,2.52,2025
Delhi Capitals,Punjab Kings,2.30,1.61,2025
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.72,2.11,2025
Gujarat Titans,Lucknow Super Giants,1.50,2.59,2025
Mumbai Indians,Delhi Capitals,1.51,2.57,2025
Chennai Super Kings,Rajasthan Royals,2.02,1.78,2025
Lucknow Super Giants,Sunrisers Hyderabad,1.71,2.13,2025
Delhi Capitals,Gujarat Titans,2.17,1.69,2025
Rajasthan Royals,Punjab Kings,2.09,1.74,2025
Royal Challengers Bengaluru,Kolkata Knight Riders,1.74,2.10,2025
Kolkata Knight Riders,Chennai Super Kings,1.57,2.39,2025
Mumbai Indians,Gujarat Titans,1.65,2.27,2025
Sunrisers Hyderabad,Delhi Capitals,1.88,1.92,2025
Punjab Kings,Lucknow Super Giants,1.91,1.90,2025
Kolkata Knight Riders,Rajasthan Royals,1.64,2.25,2025
Royal Challengers Bengaluru,Chennai Super Kings,1.63,2.28,2025
Gujarat Titans,Sunrisers Hyderabad,1.77,2.04,2025
Rajasthan Royals,Mumbai Indians,2.50,1.54,2025
Chennai Super Kings,Punjab Kings,2.38,1.59,2025
Delhi Capitals,Kolkata Knight Riders,1.80,2.02,2025
Rajasthan Royals,Gujarat Titans,2.14,1.71,2025
Delhi Capitals,Royal Challengers Bengaluru,1.98,1.82,2025
Mumbai Indians,Lucknow Super Giants,1.57,2.39,2025
Kolkata Knight Riders,Punjab Kings,1.82,1.98,2025
Chennai Super Kings,Sunrisers Hyderabad,2.19,1.68,2025
Royal Challengers Bengaluru,Rajasthan Royals,1.72,2.11,2025
Sunrisers Hyderabad,Mumbai Indians,2.35,1.59,2025
Lucknow Super Giants,Delhi Capitals,1.90,1.88,2025
Kolkata Knight Riders,Gujarat Titans,1.73,2.09,2025
Mumbai Indians,Chennai Super Kings,1.43,2.85,2025
Punjab Kings,Royal Challengers Bengaluru,1.99,1.81,2025
Rajasthan Royals,Lucknow Super Giants,1.95,1.86,2025
Gujarat Titans,Delhi Capitals,1.70,2.16,2025
Royal Challengers Bengaluru,Punjab Kings,1.76,2.05,2025
Mumbai Indians,Sunrisers Hyderabad,1.62,2.29,2025
Delhi Capitals,Rajasthan Royals,1.89,1.91,2025
Punjab Kings,Kolkata Knight Riders,1.92,1.88,2025
Lucknow Super Giants,Chennai Super Kings,1.64,2.25,2025
Delhi Capitals,Mumbai Indians,2.16,1.69,2025
Rajasthan Royals,Royal Challengers Bengaluru,2.12,1.72,2025
Sunrisers Hyderabad,Punjab Kings,1.83,1.98,2025
Lucknow Super Giants,Gujarat Titans,2.13,1.71,2025
Chennai Super Kings,Kolkata Knight Riders,2.20,1.68,2025
Royal Challengers Bengaluru,Delhi Capitals,1.79,2.02,2025
Gujarat Titans,Rajasthan Royals,1.82,1.99,2025
Punjab Kings,Chennai Super Kings,1.75,2.07,2025
Kolkata Knight Riders,Lucknow Super Giants,1.70,2.15,2025
Mumbai Indians,Royal Challengers Bengaluru,1.64,2.26,2025
Sunrisers Hyderabad,Gujarat Titans,1.83,1.97,2025
Punjab Kings,Rajasthan Royals,1.66,2.22,2025
Chennai Super Kings,Delhi Capitals,1.72,2.16,2025
Lucknow Super Giants,Mumbai Indians,2.10,1.73,2025
Kolkata Knight Riders,Sunrisers Hyderabad,2.07,1.75,2025
Royal Challengers Bengaluru,Gujarat Titans,1.75,2.08,2025
Lucknow Super Giants,Punjab Kings,1.99,1.81,2025
Mumbai Indians,Kolkata Knight Riders,1.72,2.12,2025
Rajasthan Royals,Chennai Super Kings,2.07,1.76,2025
Delhi Capitals,Sunrisers Hyderabad,2.17,1.68,2025
Gujarat Titans,Mumbai Indians,2.07,1.76,2025
Chennai Super Kings,Royal Challengers Bengaluru,1.67,2.20,2025
Sunrisers Hyderabad,Lucknow Super Giants,1.51,2.59,2025
Rajasthan Royals,Kolkata Knight Riders,1.94,1.87,2025
Gujarat Titans,Punjab Kings,1.66,2.21,2025
Delhi Capitals,Lucknow Super Giants,1.82,1.99,2025
Chennai Super Kings,Mumbai Indians,1.73,2.10,2025
Sunrisers Hyderabad,Rajasthan Royals,1.55,2.43,2025
Kolkata Knight Riders,Royal Challengers Bengaluru,6.24,1.64,2025
Kolkata Knight Riders,Sunrisers Hyderabad,1.87,1.92,2024
Sunrisers Hyderabad,Rajasthan Royals,1.79,2.00,2024
Rajasthan Royals,Royal Challengers Bengaluru,2.01,1.77,2024
Kolkata Knight Riders,Sunrisers Hyderabad,1.95,1.85,2024
Sunrisers Hyderabad,Punjab Kings,1.36,3.06,2024
Royal Challengers Bengaluru,Chennai Super Kings,1.80,1.98,2024
Mumbai Indians,Lucknow Super Giants,1.73,2.08,2024
Sunrisers Hyderabad,Gujarat Titans,1.59,2.31,2024
Rajasthan Royals,Punjab Kings,1.62,2.26,2024
Delhi Capitals,Lucknow Super Giants,1.75,2.05,2024
Gujarat Titans,Kolkata Knight Riders,2.14,1.69,2024
Royal Challengers Bengaluru,Delhi Capitals,1.69,2.14,2024
Chennai Super Kings,Rajasthan Royals,1.91,1.88,2024
Kolkata Knight Riders,Mumbai Indians,1.80,1.99,2024
Gujarat Titans,Chennai Super Kings,2.25,1.64,2024
Punjab Kings,Royal Challengers Bengaluru,2.09,1.74,2024
Sunrisers Hyderabad,Lucknow Super Giants,1.74,2.06,2024
Delhi Capitals,Rajasthan Royals,2.07,1.74,2024
Mumbai Indians,Sunrisers Hyderabad,1.80,1.99,2024
Lucknow Super Giants,Kolkata Knight Riders,1.99,1.80,2024
Punjab Kings,Chennai Super Kings,2.03,1.77,2024
Royal Challengers Bengaluru,Gujarat Titans,1.68,2.19,2024
Mumbai Indians,Kolkata Knight Riders,1.68,2.16,2024
Sunrisers Hyderabad,Rajasthan Royals,1.81,1.97,2024
Chennai Super Kings,Punjab Kings,1.64,2.24,2024
Lucknow Super Giants,Mumbai Indians,2.10,1.72,2024
Kolkata Knight Riders,Delhi Capitals,1.71,2.13,2024
Chennai Super Kings,Sunrisers Hyderabad,1.84,1.94,2024
Gujarat Titans,Royal Challengers Bengaluru,1.86,1.93,2024
Lucknow Super Giants,Rajasthan Royals,2.01,1.77,2024
Delhi Capitals,Mumbai Indians,2.35,1.58,2024
Kolkata Knight Riders,Punjab Kings,1.63,2.28,2024
Sunrisers Hyderabad,Royal Challengers Bengaluru,1.64,2.25,2024
Delhi Capitals,Gujarat Titans,1.94,1.84,2024
Chennai Super Kings,Lucknow Super Giants,1.74,2.06,2024
Rajasthan Royals,Mumbai Indians,2.05,1.75,2024
Punjab Kings,Gujarat Titans,2.06,1.74,2024
Kolkata Knight Riders,Royal Challengers Bengaluru,1.69,2.15,2024
Delhi Capitals,Sunrisers Hyderabad,2.14,1.69,2024
Lucknow Super Giants,Chennai Super Kings,2.04,1.76,2024
Punjab Kings,Mumbai Indians,2.57,1.50,2024
Gujarat Titans,Delhi Capitals,1.71,2.11,2024
Kolkata Knight Riders,Rajasthan Royals,1.80,2.00,2024
Royal Challengers Bengaluru,Sunrisers Hyderabad,2.03,1.75,2024
Mumbai Indians,Chennai Super Kings,1.60,2.34,2024
Kolkata Knight Riders,Lucknow Super Giants,1.69,2.15,2024
Punjab Kings,Rajasthan Royals,2.14,1.69,2024
Lucknow Super Giants,Delhi Capitals,1.72,2.09,2024
Mumbai Indians,Royal Challengers Bengaluru,1.59,2.33,2024
Rajasthan Royals,Gujarat Titans,1.70,2.17,2024
Punjab Kings,Sunrisers Hyderabad,2.10,1.72,2024
Chennai Super Kings,Kolkata Knight Riders,1.85,1.92,2024
Lucknow Super Giants,Gujarat Titans,1.78,2.01,2024
Mumbai Indians,Delhi Capitals,1.56,2.41,2024
Rajasthan Royals,Royal Challengers Bengaluru,1.69,2.13,2024
Sunrisers Hyderabad,Chennai Super Kings,1.99,1.84,2024
Gujarat Titans,Punjab Kings,1.73,2.10,2024
Delhi Capitals,Kolkata Knight Riders,2.04,1.77,2024
Royal Challengers Bengaluru,Lucknow Super Giants,1.75,2.06,2024
Mumbai Indians,Rajasthan Royals,1.77,2.03,2024
Delhi Capitals,Chennai Super Kings,2.19,1.67,2024
Gujarat Titans,Sunrisers Hyderabad,1.97,1.81,2024
Lucknow Super Giants,Punjab Kings,1.80,2.00,2024
Royal Challengers Bengaluru,Kolkata Knight Riders,1.87,1.92,2024
Rajasthan Royals,Delhi Capitals,1.72,2.10,2024
Sunrisers Hyderabad,Mumbai Indians,2.14,1.69,2024
Chennai Super Kings,Gujarat Titans,1.71,2.11,2024
Royal Challengers Bengaluru,Punjab Kings,1.71,2.13,2024
Gujarat Titans,Mumbai Indians,2.13,1.71,2024
Rajasthan Royals,Lucknow Super Giants,1.72,2.09,2024
Kolkata Knight Riders,Sunrisers Hyderabad,1.80,1.99,2024
Punjab Kings,Delhi Capitals,1.98,1.81,2024
Chennai Super Kings,Royal Challengers Bengaluru,1.75,2.04,2024
Gujarat Titans,Chennai Super Kings,1.95,1.85,2023
Gujarat Titans,Mumbai Indians,1.89,1.92,2023
Lucknow Super Giants,Mumbai Indians,2.20,1.67,2023
Chennai Super Kings,Gujarat Titans,1.88,1.92,2023
Royal Challengers Bengaluru,Gujarat Titans,1.78,2.00,2023
Mumbai Indians,Sunrisers Hyderabad,1.53,2.51,2023
Kolkata Knight Riders,Lucknow Super Giants,1.99,1.80,2023
Delhi Capitals,Chennai Super Kings,2.31,1.61,2023
Punjab Kings,Rajasthan Royals,2.12,1.74,2023
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.28,1.63,2023
Punjab Kings,Delhi Capitals,1.72,2.13,2023
Lucknow Super Giants,Mumbai Indians,2.13,1.72,2023
Gujarat Titans,Sunrisers Hyderabad,1.61,2.31,2023
Chennai Super Kings,Kolkata Knight Riders,1.64,2.25,2023
Rajasthan Royals,Royal Challengers Bengaluru,1.82,1.98,2023
Delhi Capitals,Punjab Kings,1.81,1.97,2023
Sunrisers Hyderabad,Lucknow Super Giants,1.89,1.91,2023
Mumbai Indians,Gujarat Titans,1.96,1.83,2023
Kolkata Knight Riders,Rajasthan Royals,2.08,1.76,2023
Chennai Super Kings,Delhi Capitals,1.66,2.23,2023
Mumbai Indians,Royal Challengers Bengaluru,1.81,1.99,2023
Kolkata Knight Riders,Punjab Kings,1.83,1.95,2023
Rajasthan Royals,Sunrisers Hyderabad,1.70,2.15,2023
Gujarat Titans,Lucknow Super Giants,1.69,2.17,2023
Delhi Capitals,Royal Challengers Bengaluru,2.15,1.69,2023
Chennai Super Kings,Mumbai Indians,1.87,1.93,2023
Rajasthan Royals,Gujarat Titans,1.93,1.86,2023
Sunrisers Hyderabad,Kolkata Knight Riders,1.86,1.94,2023
Punjab Kings,Mumbai Indians,2.00,1.80,2023
Lucknow Super Giants,Chennai Super Kings,2.06,1.72,2023
Gujarat Titans,Delhi Capitals,1.64,2.29,2023
Lucknow Super Giants,Royal Challengers Bengaluru,1.83,1.96,2023
Mumbai Indians,Rajasthan Royals,2.01,1.79,2023
Chennai Super Kings,Punjab Kings,1.73,2.10,2023
Delhi Capitals,Sunrisers Hyderabad,1.79,2.01,2023
Kolkata Knight Riders,Gujarat Titans,2.08,1.75,2023
Punjab Kings,Lucknow Super Giants,1.90,1.89,2023
Rajasthan Royals,Chennai Super Kings,1.81,1.99,2023
Royal Challengers Bengaluru,Kolkata Knight Riders,1.71,2.14,2023
Gujarat Titans,Mumbai Indians,1.90,1.87,2023
Sunrisers Hyderabad,Delhi Capitals,1.75,2.06,2023
Kolkata Knight Riders,Chennai Super Kings,2.01,1.79,2023
Royal Challengers Bengaluru,Rajasthan Royals,1.94,1.82,2023
Mumbai Indians,Punjab Kings,1.63,2.28,2023
Lucknow Super Giants,Gujarat Titans,1.85,1.94,2023
Chennai Super Kings,Sunrisers Hyderabad,1.74,2.12,2023
Delhi Capitals,Kolkata Knight Riders,2.06,1.76,2023
Punjab Kings,Royal Challengers Bengaluru,2.01,1.79,2023
Rajasthan Royals,Lucknow Super Giants,1.72,2.11,2023
Sunrisers Hyderabad,Mumbai Indians,1.95,1.86,2023
Royal Challengers Bengaluru,Chennai Super Kings,1.78,2.03,2023
Gujarat Titans,Rajasthan Royals,1.93,1.86,2023
Mumbai Indians,Kolkata Knight Riders,1.88,1.94,2023
Lucknow Super Giants,Punjab Kings,1.64,2.26,2023
Royal Challengers Bengaluru,Delhi Capitals,1.67,2.19,2023
Kolkata Knight Riders,Sunrisers Hyderabad,1.72,2.13,2023
Punjab Kings,Gujarat Titans,2.08,1.75,2023
Chennai Super Kings,Rajasthan Royals,1.89,1.93,2023
Delhi Capitals,Mumbai Indians,2.11,1.72,2023
Royal Challengers Bengaluru,Lucknow Super Giants,1.90,1.90,2023
Sunrisers Hyderabad,Punjab Kings,1.94,1.87,2023
Gujarat Titans,Kolkata Knight Riders,1.78,2.05,2023
Mumbai Indians,Chennai Super Kings,1.82,1.98,2023
Rajasthan Royals,Delhi Capitals,1.77,2.04,2023
Lucknow Super Giants,Sunrisers Hyderabad,1.74,2.09,2023
Kolkata Knight Riders,Royal Challengers Bengaluru,2.25,1.64,2023
Rajasthan Royals,Punjab Kings,1.63,2.28,2023
Delhi Capitals,Gujarat Titans,1.94,1.81,2023
Chennai Super Kings,Lucknow Super Giants,2.02,1.81,2023
Royal Challengers Bengaluru,Mumbai Indians,1.89,1.91,2023
Sunrisers Hyderabad,Rajasthan Royals,1.94,1.88,2023
Lucknow Super Giants,Delhi Capitals,1.93,1.86,2023
Punjab Kings,Kolkata Knight Riders,1.92,1.87,2023
Gujarat Titans,Chennai Super Kings,1.70,2.15,2023
Gujarat Titans,Rajasthan Royals,1.89,1.91,2022
Rajasthan Royals,Royal Challengers Bengaluru,1.91,1.87,2022
Lucknow Super Giants,Royal Challengers Bengaluru,1.95,1.83,2022
Gujarat Titans,Rajasthan Royals,1.82,1.95,2022
Sunrisers Hyderabad,Punjab Kings,2.05,1.75,2022
Mumbai Indians,Delhi Capitals,2.06,1.74,2022
Rajasthan Royals,Chennai Super Kings,1.65,2.19,2022
Royal Challengers Bengaluru,Gujarat Titans,1.78,2.01,2022
Kolkata Knight Riders,Lucknow Super Giants,1.96,1.82,2022
Mumbai Indians,Sunrisers Hyderabad,1.71,2.10,2022
Punjab Kings,Delhi Capitals,1.84,1.94,2022
Lucknow Super Giants,Rajasthan Royals,1.79,1.99,2022
Chennai Super Kings,Gujarat Titans,2.15,1.69,2022
Kolkata Knight Riders,Sunrisers Hyderabad,1.81,1.97,2022
Royal Challengers Bengaluru,Punjab Kings,1.76,2.03,2022
Chennai Super Kings,Mumbai Indians,1.84,1.92,2022
Rajasthan Royals,Delhi Capitals,1.86,1.92,2022
Lucknow Super Giants,Gujarat Titans,1.81,1.95,2022
Mumbai Indians,Kolkata Knight Riders,1.75,2.04,2022
Chennai Super Kings,Delhi Capitals,2.07,1.73,2022
Sunrisers Hyderabad,Royal Challengers Bengaluru,2.03,1.75,2022
Lucknow Super Giants,Kolkata Knight Riders,1.86,1.91,2022
Punjab Kings,Rajasthan Royals,1.94,1.83,2022
Gujarat Titans,Mumbai Indians,1.90,1.88,2022
Delhi Capitals,Sunrisers Hyderabad,1.85,1.92,2022
Royal Challengers Bengaluru,Chennai Super Kings,1.89,1.89,2022
Gujarat Titans,Punjab Kings,1.86,1.91,2022
Kolkata Knight Riders,Rajasthan Royals,1.98,1.80,2022
Sunrisers Hyderabad,Chennai Super Kings,1.82,1.95,2022
Delhi Capitals,Lucknow Super Giants,1.81,1.95,2022
Rajasthan Royals,Mumbai Indians,1.88,1.90,2022
Gujarat Titans,Royal Challengers Bengaluru,1.89,1.86,2022
Punjab Kings,Lucknow Super Giants,1.84,1.93,2022
Delhi Capitals,Kolkata Knight Riders,1.81,1.97,2022
Gujarat Titans,Sunrisers Hyderabad,1.78,1.96,2022
Royal Challengers Bengaluru,Rajasthan Royals,1.82,1.96,2022
Punjab Kings,Chennai Super Kings,2.04,1.75,2022
Lucknow Super Giants,Mumbai Indians,2.08,1.73,2022
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.73,2.11,2022
Kolkata Knight Riders,Gujarat Titans,1.82,1.96,2022
Delhi Capitals,Rajasthan Royals,1.88,1.90,2022
Mumbai Indians,Chennai Super Kings,1.90,1.88,2022
Delhi Capitals,Punjab Kings,1.92,1.84,2022
Lucknow Super Giants,Royal Challengers Bengaluru,1.93,1.84,2022
Rajasthan Royals,Kolkata Knight Riders,1.94,1.84,2022
Gujarat Titans,Chennai Super Kings,1.92,1.86,2022
Punjab Kings,Sunrisers Hyderabad,1.84,1.92,2022
Delhi Capitals,Royal Challengers Bengaluru,1.86,1.91,2022
Mumbai Indians,Lucknow Super Giants,1.73,2.08,2022
Sunrisers Hyderabad,Kolkata Knight Riders,2.19,1.65,2022
Rajasthan Royals,Gujarat Titans,1.77,2.00,2022
Mumbai Indians,Punjab Kings,1.70,2.11,2022
Chennai Super Kings,Royal Challengers Bengaluru,2.17,1.64,2022
Sunrisers Hyderabad,Gujarat Titans,2.06,1.75,2022
Rajasthan Royals,Lucknow Super Giants,1.90,1.87,2022
Kolkata Knight Riders,Delhi Capitals,1.74,2.05,2022
Royal Challengers Bengaluru,Mumbai Indians,1.79,1.97,2022
Chennai Super Kings,Sunrisers Hyderabad,1.67,2.18,2022
Punjab Kings,Gujarat Titans,1.91,1.85,2022
Lucknow Super Giants,Delhi Capitals,1.90,1.87,2022
Kolkata Knight Riders,Mumbai Indians,1.94,1.84,2022
Rajasthan Royals,Royal Challengers Bengaluru,2.00,1.77,2022
Sunrisers Hyderabad,Lucknow Super Giants,2.14,1.67,2022
Chennai Super Kings,Punjab Kings,1.69,2.15,2022
Gujarat Titans,Delhi Capitals,2.10,1.71,2022
Mumbai Indians,Rajasthan Royals,1.67,2.15,2022
Kolkata Knight Riders,Punjab Kings,1.97,1.83,2022
Lucknow Super Giants,Chennai Super Kings,1.85,1.94,2022
Royal Challengers Bengaluru,Kolkata Knight Riders,1.68,2.13,2022
Sunrisers Hyderabad,Rajasthan Royals,2.08,1.71,2022
Gujarat Titans,Lucknow Super Giants,1.62,2.24,2022
Punjab Kings,Royal Challengers Bengaluru,1.91,1.85,2022
Delhi Capitals,Mumbai Indians,2.15,1.67,2022
Chennai Super Kings,Kolkata Knight Riders,1.90,1.86,2022
Chennai Super Kings,Kolkata Knight Riders,1.94,1.84,2021
Delhi Capitals,Kolkata Knight Riders,2.01,1.80,2021
Royal Challengers Bengaluru,Kolkata Knight Riders,1.92,1.85,2021
Delhi Capitals,Chennai Super Kings,2.06,1.74,2021
Royal Challengers Bengaluru,Delhi Capitals,1.76,2.04,2021
Sunrisers Hyderabad,Mumbai Indians,2.60,1.48,2021
Kolkata Knight Riders,Rajasthan Royals,1.65,2.19,2021
Chennai Super Kings,Punjab Kings,1.66,2.17,2021
Royal Challengers Bengaluru,Sunrisers Hyderabad,1.48,2.63,2021
Rajasthan Royals,Mumbai Indians,2.29,1.59,2021
Delhi Capitals,Chennai Super Kings,1.87,1.93,2021
Kolkata Knight Riders,Sunrisers Hyderabad,1.60,2.29,2021
Royal Challengers Bengaluru,Punjab Kings,1.79,2.00,2021
Rajasthan Royals,Chennai Super Kings,2.10,1.70,2021
Mumbai Indians,Delhi Capitals,1.75,2.06,2021
Kolkata Knight Riders,Punjab Kings,1.74,2.08,2021
Sunrisers Hyderabad,Chennai Super Kings,2.35,1.57,2021
Rajasthan Royals,Royal Challengers Bengaluru,2.21,1.65,2021
Mumbai Indians,Punjab Kings,1.56,2.38,2021
Kolkata Knight Riders,Delhi Capitals,2.01,1.78,2021
Sunrisers Hyderabad,Rajasthan Royals,2.16,1.68,2021
Royal Challengers Bengaluru,Mumbai Indians,2.22,1.64,2021
Chennai Super Kings,Kolkata Knight Riders,1.77,2.01,2021
Sunrisers Hyderabad,Punjab Kings,1.93,1.87,2021
Delhi Capitals,Rajasthan Royals,1.65,2.20,2021
Royal Challengers Bengaluru,Chennai Super Kings,2.01,1.79,2021
Mumbai Indians,Kolkata Knight Riders,1.66,2.18,2021
Delhi Capitals,Sunrisers Hyderabad,1.60,2.29,2021
Punjab Kings,Rajasthan Royals,1.73,2.08,2021
Kolkata Knight Riders,Royal Challengers Bengaluru,2.05,1.76,2021
Chennai Super Kings,Mumbai Indians,2.11,1.71,2021
Punjab Kings,Delhi Capitals,2.52,1.52,2021
Rajasthan Royals,Sunrisers Hyderabad,2.11,1.72,2021
Mumbai Indians,Chennai Super Kings,1.63,2.26,2021
Punjab Kings,Royal Challengers Bengaluru,2.38,1.58,2021
Delhi Capitals,Kolkata Knight Riders,1.66,2.19,2021
Mumbai Indians,Rajasthan Royals,1.55,2.43,2021
Chennai Super Kings,Sunrisers Hyderabad,1.70,2.15,2021
Delhi Capitals,Royal Challengers Bengaluru,1.80,2.00,2021
Punjab Kings,Kolkata Knight Riders,1.92,1.86,2021
Sunrisers Hyderabad,Delhi Capitals,2.04,1.77,2021
Chennai Super Kings,Royal Challengers Bengaluru,2.10,1.72,2021
Rajasthan Royals,Kolkata Knight Riders,2.10,1.72,2021
Punjab Kings,Mumbai Indians,2.30,1.60,2021
Royal Challengers Bengaluru,Rajasthan Royals,1.64,2.25,2021
Kolkata Knight Riders,Chennai Super Kings,1.87,1.94,2021
Punjab Kings,Sunrisers Hyderabad,1.97,1.83,2021
Delhi Capitals,Mumbai Indians,2.22,1.66,2021
Chennai Super Kings,Rajasthan Royals,1.84,1.97,2021
Delhi Capitals,Punjab Kings,1.68,2.18,2021
Royal Challengers Bengaluru,Kolkata Knight Riders,1.81,1.99,2021
Mumbai Indians,Sunrisers Hyderabad,1.65,2.20,2021
Punjab Kings,Chennai Super Kings,1.92,1.87,2021
Rajasthan Royals,Delhi Capitals,2.14,1.70,2021
